,Type,Symbol,Description,Close,LastWaveStart,LastwaveEnd,LastWavePeriod,LastWaveValueGain,CurrentWaveStart,CurrentPeriod,CurrentValueGain,TRelative,GainRelative,Congruence,P,DeltaN,YieldEst,GainPerDayCurrent,GainPerDayEstimated,Boll-2MA,MA2Boll+
252,bov,BRSR6.SA,BANRISUL    PNB     N1,10.77,2021-03-24,2021-06-02,70 days,22.54,2021-12-22,40 days,15.13,57.14,67.13,9.99,7.47,30,7.41,37.83,24.7,False,True
253,bov,BKBR3.SA,BK BRASIL   ON      NM,6.42,2021-10-29,2021-11-11,13 days,21.63,2022-01-10,21 days,18.04,161.54,83.39,78.15,1.08,-8,3.59,85.89,-44.91,False,True
254,bov,CEAB3.SA,CEA MODAS   ON      NM,6.53,2021-03-09,2021-06-21,104 days,43.63,2022-01-18,13 days,20.61,12.5,47.24,34.74,1.4,91,23.02,158.53,25.29,False,False
255,bov,CESP6.SA,CESP        PNB     N1,22.98,2021-10-07,2021-11-03,27 days,11.48,2022-01-06,25 days,14.57,92.59,126.88,34.29,3.81,2,-3.09,58.27,-154.33,False,True
256,bov,BMGB4.SA,BANCO BMG   PN      N1,3.17,2021-05-14,2021-06-09,26 days,15.32,2021-12-01,61 days,20.75,234.62,135.4,99.22,1.38,-35,-5.42,34.01,15.5,False,True
257,bov,CSMG3.SA,COPASA      ON      NM,12.93,2021-03-09,2021-05-24,76 days,28.75,2022-01-10,21 days,11.07,27.63,38.49,10.86,3.9,55,17.69,52.71,32.16,False,True
258,bov,PNVL3.SA,DIMED       ON      NM,13.18,2021-05-20,2021-06-29,40 days,14.18,2022-01-06,25 days,18.44,62.5,130.02,67.52,1.95,15,-4.26,73.76,-28.39,False,False
259,bov,DIRR3.SA,DIRECIONAL  ON      NM,13.75,2021-10-29,2022-01-31,94 days,39.15,2022-01-10,21 days,26.51,22.34,67.7,45.36,1.53,73,12.64,126.23,17.32,False,True
260,bov,ECOR3.SA,ECORODOVIAS ON      NM,7.83,2021-03-09,2021-06-15,98 days,26.62,2022-01-05,26 days,11.43,26.53,42.95,16.42,2.79,72,15.19,43.97,21.09,False,True
261,bov,ENBR3.SA,ENERGIAS BR ON      NM,21.49,2021-08-05,2022-01-19,167 days,28.0,2022-01-06,25 days,8.21,14.97,29.34,14.37,2.19,142,19.78,32.85,13.93,False,True
262,bov,SOMA3.SA,GRUPO SOMA  ON      NM,14.37,2021-10-29,2021-11-19,21 days,14.14,2022-01-18,13 days,28.7,61.9,202.96,141.06,1.45,8,-14.56,220.81,-182.02,False,True
263,bov,HBSA3.SA,HIDROVIAS   ON      NM,2.95,2021-12-01,2021-12-28,27 days,26.55,2022-01-19,12 days,7.35,44.44,27.68,16.76,1.76,15,19.2,61.24,127.99,False,True
264,bov,LWSA3.SA,LOCAWEB     ON      NM,9.3,2021-06-07,2021-07-22,45 days,14.96,2022-01-18,13 days,9.84,28.89,65.8,36.92,1.83,32,5.12,75.73,15.99,False,True
265,bov,VAMO3.SA,VAMOS       ON      NM,12.25,2021-12-01,2021-12-15,14 days,20.66,2022-01-18,13 days,19.12,92.86,92.56,0.3,132.4,1,1.54,147.09,153.78,False,True
266,bov,RDOR3.SA,REDE D OR   ON      NM,44.54,2021-07-21,2021-08-24,34 days,13.89,2022-01-18,13 days,12.09,38.24,87.04,48.81,1.82,21,1.8,92.99,8.57,False,True
267,bov,NGRD3.SA,NEOGRID     ON      NM,3.0,2021-06-30,2021-07-06,6 days,22.02,2022-01-10,21 days,25.89,350.0,117.56,232.44,0.51,-15,-3.87,123.29,25.78,False,True
268,bov,TUPY3.SA,TUPY        ON      NM,20.69,2021-09-20,2021-11-11,52 days,14.03,2022-01-07,24 days,8.26,46.15,58.89,12.74,5.02,28,5.77,34.44,20.6,False,True
269,bov,SBSP3.SA,SABESP      ON      NM,36.7,2021-08-18,2021-12-30,134 days,22.22,2022-01-10,21 days,3.58,15.67,16.12,0.45,29.21,113,18.64,17.06,16.5,False,True
270,bov,CXSE3.SA,CAIXA SEGURION      NM,8.85,2021-10-07,2021-11-19,43 days,21.15,2022-01-05,26 days,10.38,60.47,49.07,11.4,4.72,17,10.77,39.91,63.37,False,False
271,bov,SIMH3.SA,SIMPAR      ON      NM,10.96,2021-12-01,2021-12-17,16 days,18.04,2022-01-18,13 days,16.3,81.25,90.35,9.1,11.15,3,1.74,125.41,58.03,False,True
272,bov,VIVA3.SA,VIVARA S.A. ON      NM,25.13,2021-08-17,2021-08-30,13 days,9.16,2022-01-10,21 days,13.62,161.54,148.63,12.91,12.48,-8,-4.46,64.86,55.71,False,True
273,bov,WIZS3.SA,WIZ S.A.    ON      NM,8.07,2021-03-10,2021-07-07,119 days,125.24,2022-01-18,13 days,12.12,10.92,9.68,1.25,39.49,106,113.12,93.25,106.71,False,True
274,bov,SULA3.SA,SUL AMERICA ON      N2,8.59,2021-10-06,2021-11-10,35 days,20.91,2022-01-24,7 days,5.78,20.0,27.66,7.66,4.15,28,15.12,82.63,54.01,False,True
