,Type,Symbol,Description,Close,LastWaveStart,LastwaveEnd,LastWavePeriod,LastWaveValueGain,CurrentWaveStart,CurrentPeriod,CurrentValueGain,TRelative,GainRelative,Congruence,P,DeltaN,YieldEst,GainPerDayCurrent,GainPerDayEstimated,Boll-2MA,MA2Boll+
0,bdr,NVDC34.SA,NVIDIA CORP DRN,25.7,2021-03-10,2021-11-25,260 days,102.8,2022-01-27,4 days,-0.24,1.54,-0.23,1.77,-0.3,256,103.04,-5.95,40.25,True,False
1,bdr,SSFO34.SA,SALESFORCE  DRN,53.77,2021-05-19,2021-11-04,169 days,43.46,2022-01-26,2 days,0.92,1.18,2.11,0.93,28.48,167,42.54,45.84,25.47,True,False
2,bdr,MSFT34.SA,MICROSOFT   DRN,69.09,2021-06-02,2021-12-29,210 days,45.08,2022-01-25,6 days,1.84,2.86,4.09,1.23,17.91,204,43.24,30.7,21.2,True,False
3,bdr,CMCS34.SA,COMCAST     DRN,53.52,2021-12-09,2022-01-17,39 days,7.52,2022-01-27,4 days,2.08,10.26,27.66,17.4,1.69,35,5.44,51.97,15.54,True,False
4,bdr,BERK34.SA,BERKSHIRE   DRN,83.82,2021-06-30,2022-01-10,194 days,29.65,2022-01-27,4 days,-0.03,2.06,-0.12,2.18,-0.1,190,29.69,-0.87,15.63,True,False
5,bdr,B1NT34.SA,BIONTECH SE DRN,109.59,2021-10-06,2021-11-29,54 days,45.0,2022-01-21,10 days,3.66,18.52,8.14,10.38,0.87,44,41.34,36.62,93.95,True,False
6,bdr,TSLA34.SA,TESLA INC   DRN,144.4,2021-06-04,2021-11-04,153 days,84.43,2022-01-27,4 days,-9.05,2.61,-10.72,13.34,-0.87,149,93.49,-226.35,62.74,True,False
7,bdr,PFIZ34.SA,PFIZER      DRN,73.05,2021-10-15,2021-12-20,66 days,46.16,2022-01-27,4 days,-0.1,6.06,-0.22,6.28,-0.04,62,46.26,-2.55,74.61,True,False
8,bdr,UNHH34.SA,UNITEDHEALTHDRN,70.91,2021-10-04,2021-12-29,86 days,32.48,2022-01-28,0 days,-0.37,0.0,-1.12,1.12,-9.02,86,32.85,-inf,38.19,True,False
9,bdr,CHCM34.SA,CHARTER COMMDRN,52.55,2021-12-09,2022-01-03,25 days,6.21,2022-01-26,2 days,2.77,8.0,44.53,36.53,1.25,23,3.44,138.27,14.98,True,False
10,bdr,EXXO34.SA,EXXON MOBIL DRN,100.57,2020-11-06,2022-01-25,445 days,91.3,2021-09-01,149 days,38.19,33.48,41.83,8.35,5.69,296,53.1,25.63,17.94,False,True
11,bdr,U1BE34.SA,UBER TECH INDRN,47.11,2021-09-15,2021-10-08,23 days,26.01,2022-01-27,4 days,-0.03,17.39,-0.12,17.51,-0.01,19,26.04,-0.76,137.06,True,False
12,bdr,GOGL34.SA,ALPHABET    DRN A,96.02,2021-05-18,2021-12-23,219 days,34.72,2022-01-25,6 days,0.36,2.74,1.03,1.71,1.46,213,34.36,5.97,16.13,True,False
13,bdr,FBOK34.SA,META PLAT   DRN,58.1,2021-01-14,2021-09-08,237 days,42.81,2022-01-27,4 days,1.94,1.69,4.54,2.85,2.45,233,40.87,48.57,17.54,True,False
14,bdr,N1DA34.SA,NASDAQ INC  DRN,467.65,2020-12-15,2021-10-29,318 days,68.25,2022-01-26,2 days,-2.16,0.63,-3.16,3.79,-1.13,316,70.41,-107.95,22.28,True,False
15,bdr,AAPL34.SA,APPLE       DRN,91.71,2021-11-12,2022-01-03,52 days,26.76,2022-01-27,4 days,6.16,7.69,23.03,15.34,1.61,48,20.59,154.04,42.9,True,False
16,bdr,COCA34.SA,COCA COLA   DRN,54.4,2021-06-29,2022-01-05,190 days,28.6,2021-10-01,122 days,14.37,64.21,50.24,13.97,3.87,68,14.23,11.78,20.93,True,False
17,bdr,ULEV34.SA,UNILEVER    DRN,274.4,2021-09-02,2022-01-05,125 days,7.52,2022-01-21,7 days,2.73,5.6,36.26,30.66,1.22,118,4.79,38.96,4.06,True,False
18,bdr,DISB34.SA,WALT DISNEY DRN,49.52,2021-08-10,2021-10-07,58 days,6.94,2022-01-26,5 days,0.66,8.62,9.58,0.96,236.6,53,6.28,13.3,11.84,True,False
19,bdr,BIDU34.SA,BAIDU INC   DRN,774.04,2021-08-19,2021-10-21,63 days,29.89,2021-12-03,56 days,-6.12,88.89,-20.48,109.37,-0.19,7,36.01,-10.93,514.49,False,False
20,bdr,AMZO34.SA,AMAZON      DRN,98.99,2021-08-17,2021-11-19,94 days,18.3,2022-01-26,5 days,2.35,5.32,12.86,7.55,1.97,89,15.94,47.07,17.91,True,False
21,bdr,NFLX34.SA,NETFLIX     DRN,42.47,2021-06-10,2021-10-29,141 days,47.56,2022-01-26,5 days,6.95,3.55,14.61,11.06,1.45,136,40.61,138.96,29.86,True,False
22,bdr,BKNG34.SA,BOOKING     DRN,73.12,2021-12-14,2022-01-04,21 days,14.29,2022-01-25,3 days,-0.77,14.29,-5.36,19.65,-0.29,18,15.06,-25.56,83.67,True,False
23,bdr,M1RN34.SA,MODERNA INC DRN,85.58,2021-11-19,2021-11-29,10 days,42.04,2022-01-27,4 days,1.18,40.0,2.8,37.2,0.08,6,40.87,29.42,681.1,True,False
24,bdr,MELI34.SA,MERCADOLIBREDRN,47.36,2021-12-03,2021-12-29,26 days,18.0,2022-01-26,5 days,4.14,19.23,23.02,3.79,8.26,21,13.86,82.85,65.98,True,False
25,bdr,TEXA34.SA,TEXAS INC   DRN,62.34,2021-11-16,2021-12-07,21 days,7.09,2022-01-28,0 days,-0.99,0.0,-13.95,13.95,-1.08,21,8.08,-inf,38.48,True,False
26,bdr,JNJB34.SA,JOHNSON     DRN,61.35,2021-09-22,2022-01-05,105 days,14.24,2022-01-26,5 days,-0.45,4.76,-3.17,7.94,-0.46,100,14.69,-9.04,14.69,True,False
27,bdr,FCXO34.SA,FREEPORT    DRN,191.24,2021-06-29,2022-01-13,198 days,37.48,2022-01-28,0 days,-4.89,0.0,-13.04,13.04,-1.08,198,42.37,-inf,21.4,False,False
28,bdr,A1MD34.SA,ADVANCED MICDRN,579.11,2021-09-29,2021-11-29,61 days,52.66,2022-01-28,3 days,4.67,4.92,8.86,3.95,3.01,58,47.99,155.61,82.75,True,False
29,bdr,COTY34.SA,COTY INC    DRN,21.1,2021-08-17,2022-01-04,140 days,40.89,2022-01-28,0 days,-3.08,0.0,-7.53,7.53,-1.15,140,43.97,-inf,31.4,True,False
30,bdr,FDXB34.SA,FEDEX CORP  DRN,1313.27,2021-10-04,2022-01-05,93 days,23.73,2022-01-27,1 days,-2.65,1.08,-11.18,12.26,-0.99,92,26.39,-265.37,28.68,True,False
31,bdr,UPSS34.SA,UPS         DRN,65.55,2021-12-01,2022-01-04,34 days,9.5,2022-01-28,3 days,-0.29,8.82,-3.04,11.87,-0.28,31,9.79,-9.63,31.58,True,False
32,bdr,COWC34.SA,COSTCO      DRN,65.7,2021-06-11,2021-12-29,201 days,53.96,2022-01-25,3 days,-1.75,1.49,-3.25,4.74,-0.87,198,55.71,-58.49,28.14,True,False
33,bdr,UPAC34.SA,UNIONPACIFICDRN,331.98,2021-10-01,2022-01-05,96 days,30.3,2022-01-27,1 days,-0.66,1.04,-2.19,3.23,-0.98,95,30.97,-66.43,32.6,True,False
34,bdr,CSXC34.SA,CSX CORP    DRN,93.73,2021-10-13,2022-01-07,86 days,16.66,2022-01-21,7 days,-2.97,8.14,-17.83,25.97,-0.71,79,19.63,-42.44,24.85,True,False
35,bdr,N1SC34.SA,NORFOLK SOUTDRN,374.02,2021-06-22,2021-12-29,190 days,21.93,2022-01-24,4 days,-2.37,2.11,-10.81,12.91,-0.91,186,24.3,-59.25,13.07,True,False
36,bdr,CSCO34.SA,CISCO       DRN,59.03,2020-11-06,2021-12-29,418 days,64.08,2022-01-27,1 days,-1.12,0.24,-1.75,1.99,-1.77,417,65.2,-112.06,15.64,True,False
37,bdr,MCDC34.SA,MCDONALDS   DRN,68.87,2020-12-11,2021-12-29,383 days,40.81,2022-01-27,4 days,1.47,1.04,3.59,2.55,2.32,379,39.34,36.63,10.38,True,False
38,bdr,WALM34.SA,WAL MART    DRN,46.0,2021-10-04,2021-11-01,28 days,14.31,2022-01-27,4 days,0.01,14.29,0.04,14.25,0.0,24,14.3,0.14,59.59,True,False
39,bdr,S2HO34.SA,SHOPIFY INC DRN,38.28,2021-10-04,2021-11-19,46 days,28.98,2022-01-27,1 days,-6.1,2.17,-21.06,23.24,-0.95,45,35.08,-610.26,77.95,True,False
40,bdr,EBAY34.SA,EBAY        DRN,153.9,2021-08-17,2021-10-22,66 days,14.19,2022-01-27,4 days,-1.8,6.06,-12.68,18.74,-0.71,62,15.99,-44.97,25.79,True,False
41,bdr,AVGO34.SA,BROADCOM INCDRN,84.64,2021-06-24,2021-12-23,182 days,87.37,2022-01-21,7 days,-1.59,3.85,-1.82,5.67,-0.39,175,88.96,-22.75,50.83,True,False
42,bdr,VERZ34.SA,VERIZON     DRN,47.2,2021-09-22,2022-01-05,105 days,8.77,2022-01-27,4 days,2.38,3.81,27.1,23.29,1.22,101,6.4,59.45,6.33,True,False
43,bdr,P2IN34.SA,PINTERESTINCDRN,24.0,2021-10-11,2021-10-20,9 days,22.25,2022-01-28,0 days,-1.36,0.0,-6.1,6.1,-1.2,9,23.61,-inf,262.3,False,False
44,bdr,ARMT34.SA,ARCELOR     DRN,77.6,2021-09-21,2022-01-13,114 days,30.55,2022-01-28,0 days,-0.58,0.0,-1.89,1.89,-2.13,114,31.13,-inf,27.3,True,False
45,bdr,VRTX34.SA,VERTEX PHARMDRN,308.87,2021-06-22,2022-01-17,209 days,32.18,2021-10-04,116 days,25.08,55.5,77.94,22.43,3.64,93,7.1,21.62,7.63,True,False
46,bdr,FDMO34.SA,FORD MOTORS DRN,103.64,2021-05-12,2022-01-13,246 days,91.01,2022-01-28,0 days,-1.23,0.0,-1.35,1.35,-3.88,246,92.23,-inf,37.49,True,False
47,bdr,CATP34.SA,CATERPILLAR DRN,67.28,2021-09-21,2022-01-17,118 days,27.27,2022-01-28,3 days,-5.72,2.54,-20.96,23.51,-0.93,115,32.99,-190.57,28.69,False,False
48,bdr,ABUD34.SA,AB INBEV    DRN,55.32,2021-09-15,2022-01-17,124 days,24.0,2021-11-30,62 days,3.53,50.0,14.69,35.31,0.43,62,20.48,5.69,33.03,False,False
49,bdr,WFCO34.SA,WELLS FARGO DRN,72.65,2021-09-13,2022-01-17,126 days,35.41,2022-01-28,3 days,0.24,2.38,0.69,1.69,0.99,123,35.16,8.11,28.59,True,False
50,cambio,USDBRL=X,USD/BRL,5.38,2021-09-10,2021-12-22,103 days,7.94,2022-01-31,0 days,-0.52,0.0,-6.59,6.59,-1.18,103,8.46,-inf,8.22,True,False
51,cambio,EURBRL=X,EUR/BRL,6.0,2021-11-16,2021-12-22,36 days,3.74,2022-01-31,0 days,-0.36,0.0,-9.63,9.63,-1.12,36,4.1,-inf,11.39,True,False
52,cambio,EURUSD=X,EUR/USD,1.12,2021-08-20,2021-09-07,18 days,1.46,2022-01-28,3 days,-0.7,16.67,-48.08,64.74,-0.75,15,2.16,-23.4,14.41,False,False
53,cripto,BTC-USD,Bitcoin USD,37051.52,2021-09-21,2021-11-08,48 days,48.66,2022-01-26,5 days,0.31,10.42,0.65,9.77,0.07,43,48.34,6.29,112.42,True,False
54,cripto,LTC-USD,Litecoin USD,105.84,2021-09-28,2021-11-14,47 days,69.78,2022-01-31,0 days,-2.72,0.0,-3.9,3.9,-1.34,47,72.51,-inf,154.27,True,False
55,cripto,ETH-USD,Ethereum USD,2542.22,2021-09-21,2021-11-08,48 days,52.66,2022-01-27,4 days,3.15,8.33,5.99,2.35,4.45,44,49.51,78.83,112.52,True,False
56,cripto,CET-USD,CoinExToken USD,0.05,2021-09-30,2021-11-11,42 days,83.65,2022-01-27,4 days,0.69,9.52,0.83,8.69,0.11,38,82.95,17.36,218.29,True,False
57,cripto,SOL-USD,Solana USD,93.3,2021-12-14,2021-12-27,13 days,24.73,2022-01-27,3 days,1.39,23.08,5.61,17.47,0.34,10,23.35,46.24,233.46,True,False
58,cripto,EGLD-USD,Elrond USD,137.78,2021-07-22,2021-11-22,123 days,210.72,2022-01-22,9 days,1.24,7.32,0.59,6.73,0.1,114,209.48,13.78,183.75,True,False
59,cripto,FTM-USD,Fantom USD,1.94,2021-07-20,2022-01-16,180 days,371.29,2022-01-31,0 days,-4.62,0.0,-1.24,1.24,-5.11,180,375.91,-inf,208.84,True,False
60,cripto,DOT-USD,Polkadot USD,18.08,2021-07-20,2021-11-04,107 days,178.63,2022-01-24,2 days,-3.96,1.87,-2.22,4.09,-0.72,105,182.59,-197.93,173.89,True,False
61,cripto,ADA-USD,Cardano USD,1.02,2021-12-10,2022-01-17,38 days,27.1,2022-01-31,0 days,-1.85,0.0,-6.84,6.84,-1.17,38,28.95,-inf,76.19,True,False
62,cripto,MATIC-USD,MaticNetwork USD,1.57,2021-11-18,2021-12-26,38 days,67.59,2022-01-25,6 days,4.27,15.79,6.32,9.47,0.75,32,63.32,71.18,197.86,True,False
63,cripto,LUNA1-USD,Terra USD,46.7,2021-10-19,2021-12-26,68 days,118.15,2022-01-30,1 days,-7.98,1.47,-6.75,8.22,-0.93,67,126.12,-797.52,188.25,True,False
64,cripto,AR-USD,Arweave USD,37.57,2021-12-13,2022-01-01,19 days,51.37,2022-01-26,5 days,15.07,26.32,29.34,3.02,14.52,14,36.3,301.38,259.26,True,False
65,cripto,LINK-USD,Chainlink USD,16.82,2021-09-21,2021-11-11,51 days,45.99,2022-01-27,4 days,10.44,7.84,22.7,14.86,1.64,47,35.55,261.05,75.64,True,False
66,cripto,CRO-USD,CryptocomCoin USD,0.41,2021-09-30,2021-11-23,54 days,200.97,2022-01-22,9 days,14.52,16.67,7.22,9.44,0.86,45,186.45,161.32,414.34,True,False
67,cripto,HNT-USD,Helium USD,28.98,2021-12-15,2022-01-04,20 days,43.28,2022-01-22,8 days,20.8,40.0,48.06,8.06,6.81,12,22.48,259.97,187.34,True,False
68,cripto,ATOM-USD,Cosmos USD,27.16,2021-10-18,2022-01-16,90 days,50.87,2022-01-30,0 days,-6.56,0.0,-12.89,12.89,-1.08,90,57.43,-inf,63.81,True,False
69,cripto,BNB-USD,BinanceCoin USD,371.87,2021-09-28,2021-11-08,41 days,70.29,2022-01-31,0 days,-1.52,0.0,-2.16,2.16,-1.86,41,71.81,-inf,175.14,True,False
70,cripto,ALGO-USD,Algorand USD,0.93,2021-07-21,2021-09-12,53 days,145.02,2022-01-31,0 days,-32.97,0.0,-22.73,22.73,-1.05,53,177.98,-inf,335.82,False,False
71,cripto,AVAX-USD,Avalanche USD,65.88,2021-12-13,2022-01-01,19 days,30.74,2022-01-31,0 days,-3.09,0.0,-10.04,10.04,-1.11,19,33.83,-inf,178.05,True,False
72,cripto,FIL-USD,FilecoinFutures USD,19.53,2021-07-20,2021-09-05,47 days,102.27,2022-01-25,6 days,6.18,12.77,6.04,6.73,1.05,41,96.09,102.93,234.37,True,False
73,cripto,AXS-USD,AxieInfinity USD,50.53,2021-09-21,2021-11-07,47 days,127.53,2022-01-28,3 days,7.26,6.38,5.69,0.69,18.29,44,120.27,242.06,273.34,True,False
74,cripto,MANA-USD,Decentraland USD,2.54,2021-09-28,2021-11-25,58 days,299.76,2022-01-28,3 days,12.39,5.17,4.13,1.04,104.82,55,287.37,412.96,522.49,False,True
75,cripto,THETA-USD,THETA USD,2.75,2021-12-14,2021-12-27,13 days,36.05,2022-01-31,0 days,-4.34,0.0,-12.04,12.04,-1.09,13,40.4,-inf,310.73,True,False
76,fii,KNRI11.SA,FII KINEA   CI,133.59,2021-08-23,2021-09-27,35 days,10.95,2021-11-30,62 days,4.79,177.14,43.72,133.42,0.33,-27,6.16,7.72,-22.82,True,False
77,fii,HGRE11.SA,FII HG REAL CI,132.5,2021-06-02,2021-07-23,51 days,12.77,2021-11-23,69 days,14.73,135.29,115.33,19.96,6.08,-18,-1.96,21.34,10.88,True,False
78,fii,RBVO11.SA,FII RIOBCRI2CI,12.31,2021-05-03,2021-10-15,165 days,31.52,2022-01-27,4 days,-0.64,2.42,-2.02,4.45,-0.59,161,32.16,-15.94,19.98,True,False
79,fii,HGLG11.SA,FII CSHG LOGCI,170.72,2021-09-03,2022-01-20,139 days,7.76,2021-11-24,68 days,8.41,48.92,108.33,59.41,1.85,71,-0.65,12.36,-0.91,False,True
80,fii,NPAR11.SA,FII NESTPAR CI,12.95,2021-08-30,2021-10-29,60 days,7.44,2021-12-02,60 days,13.18,100.0,177.26,77.26,2.32,0,-5.74,21.97,-inf,False,True
81,fii,PPLA11.SA,PPLA        UNT,6.01,2021-03-10,2021-04-01,22 days,20.01,2022-01-10,18 days,1.92,81.82,9.57,72.25,0.13,4,18.1,10.64,452.44,False,True
82,fii,IRDM11.SA,FII IRIDIUM CI,108.31,2021-10-04,2021-10-11,7 days,3.41,2021-12-17,45 days,7.07,642.86,207.53,435.32,0.48,-38,-3.66,15.7,9.64,False,True
83,fii,BCRI11.SA,FII BEES CRICI,111.0,2021-09-08,2022-01-28,142 days,3.38,2021-12-02,60 days,8.39,42.25,247.94,205.69,1.21,82,-5.01,13.98,-6.11,False,True
84,fii,MFII11.SA,FII MERITO ICI,109.6,2021-08-24,2021-09-30,37 days,2.29,2021-11-24,68 days,7.44,183.78,325.38,141.6,2.31,-31,-5.16,10.95,16.63,False,True
85,fii,VRTA11.SA,FII FATOR VECI,105.1,2021-07-02,2021-07-30,28 days,5.17,2021-12-02,60 days,6.51,214.29,125.92,88.36,1.44,-32,-1.34,10.84,4.19,False,True
86,fii,SARE11.SA,FII SANT RENCI,72.59,2021-09-23,2021-10-18,25 days,9.5,2021-11-30,62 days,14.82,248.0,155.97,92.03,1.71,-37,-5.32,23.91,14.38,False,False
87,fii,HABT11.SA,FII HABIT IICI,111.2,2021-10-08,2021-10-29,21 days,6.68,2021-12-15,47 days,5.74,223.81,85.95,137.86,0.63,-26,0.94,12.22,-3.61,False,True
88,fii,HSML11.SA,FII HSI MALLCI,76.05,2021-11-26,2021-12-30,34 days,15.67,2022-01-28,3 days,-0.1,8.82,-0.67,9.49,-0.08,31,15.78,-3.48,50.89,True,False
89,fii,RBRF11.SA,FII RBRALPHACI,72.9,2021-09-28,2021-10-15,17 days,6.15,2021-11-22,70 days,7.59,411.76,123.4,288.36,0.43,-53,-1.44,10.84,2.72,True,False
90,fii,BRCO11.SA,FII BRESCO  CI,97.98,2021-07-06,2021-07-19,13 days,5.93,2021-11-26,66 days,15.45,507.69,260.28,247.42,1.06,-53,-9.51,23.41,17.95,True,False
91,fii,XPLG11.SA,FII XP LOG  CI,98.76,2021-06-25,2021-07-20,25 days,5.59,2021-12-01,61 days,8.82,244.0,157.75,86.25,1.85,-36,-3.23,14.47,8.97,True,False
92,fii,MALL11.SA,FII MALLS BPCI,96.69,2021-08-17,2022-01-21,157 days,6.99,2021-11-24,68 days,15.65,43.31,223.99,180.68,1.25,89,-8.66,23.01,-9.73,False,True
93,fii,JSRE11.SA,FII JS REAL CI,80.44,2021-11-23,2021-12-30,37 days,18.61,2022-01-24,7 days,2.61,18.92,14.03,4.89,3.6,30,16.0,37.29,53.33,False,True
94,fii,MGFF11.SA,FII MOGNO   CI,64.44,2021-10-08,2021-10-15,7 days,4.64,2021-11-24,68 days,8.62,971.43,185.71,785.72,0.24,-61,-3.98,12.68,6.52,True,False
95,fii,XPSF11.SA,FII XP SELECCI,79.2,2021-06-28,2021-07-30,32 days,2.71,2021-11-24,68 days,12.32,212.5,454.59,242.09,1.89,-36,-9.61,18.12,26.69,True,False
96,fii,BTLG11.SA,FII BTLG    CI,104.93,2021-09-16,2021-10-15,29 days,2.31,2021-11-25,67 days,7.06,231.03,305.42,74.39,4.16,-38,-4.75,10.53,12.49,True,False
97,fii,RECR11.SA,FII REC RECECI,102.85,2021-08-17,2021-09-02,16 days,2.85,2021-11-24,68 days,6.05,425.0,212.4,212.6,1.0,-52,-3.2,8.89,6.15,False,True
98,fii,KNIP11.SA,FII KINEA IPCI,104.1,2021-07-01,2021-07-30,29 days,2.92,2021-11-09,83 days,3.91,286.21,133.63,152.58,0.88,-54,-0.98,4.71,1.82,False,True
99,fii,HGCR11.SA,FII CSHG CRICI,105.64,2021-06-28,2021-10-01,95 days,6.04,2021-11-26,66 days,5.1,69.47,84.35,14.87,6.08,29,0.95,7.72,3.26,True,False
100,index,^BVSP,IBOVESPA,111370.48,2021-03-08,2021-06-07,91 days,13.09,2022-01-05,26 days,7.45,28.57,56.93,28.36,2.08,65,5.64,28.66,8.67,False,True
101,index,^IXIC,NASDAQ Composite,13770.57,2021-05-19,2021-11-19,184 days,19.22,2022-01-27,1 days,1.73,0.54,9.0,8.46,1.21,183,17.49,173.07,9.56,True,False
102,index,^GSPC,S&P 500,4431.85,2020-11-03,2022-01-03,426 days,38.11,2022-01-27,1 days,1.9,0.23,4.98,4.74,1.33,425,36.21,189.64,8.52,True,False
103,index,^DJI,Dow Jones Industrial Average,34725.47,2021-09-30,2022-01-04,96 days,7.01,2022-01-27,1 days,1.63,1.04,23.26,22.22,1.1,95,5.38,163.16,5.66,True,False
104,index,^MERV,MERVAL,88269.83,2021-07-19,2021-11-08,112 days,43.62,2021-11-29,60 days,10.34,53.57,23.7,29.88,0.82,52,33.29,17.23,64.01,False,False
105,index,^NYA,NYSE COMPOSITE (DJ),16397.86,2021-09-30,2022-01-12,104 days,6.25,2022-01-27,1 days,1.0,0.96,16.03,15.07,1.14,103,5.25,100.17,5.09,True,False
106,index,^XAX,NYSE AMEX COMPOSITE INDEX,3586.85,2020-10-01,2022-01-12,468 days,67.96,2021-08-19,162 days,21.24,34.62,31.25,3.37,13.19,306,46.73,13.11,15.27,False,True
107,index,^BUK100P,Cboe UK 100,742.18,2021-02-26,2022-01-17,325 days,13.73,2021-09-20,133 days,7.51,40.92,54.72,13.8,4.28,192,6.22,5.65,3.24,True,False
108,index,^RUT,Russell 2000,1968.51,2021-08-19,2021-11-08,81 days,12.75,2022-01-27,1 days,-0.36,1.23,-2.81,4.04,-0.92,80,13.11,-35.82,16.39,True,False
109,index,^VIX,CBOE Volatility Index,27.66,2021-11-03,2022-01-26,84 days,100.81,2022-01-03,25 days,53.76,29.76,53.32,23.56,2.36,59,47.06,215.02,79.76,False,True
110,index,^FTSE,FTSE 100,7470.58,2021-09-21,2022-01-17,118 days,10.01,2021-11-30,62 days,5.12,52.54,51.17,1.37,138.66,56,4.89,8.26,8.73,True,False
111,index,^GDAXI,DAX PERFORMANCE-INDEX,15398.32,2021-12-03,2022-01-05,33 days,6.52,2022-01-24,7 days,-1.21,21.21,-18.62,39.83,-0.48,26,7.73,-17.34,29.75,True,False
112,index,^FCHI,CAC 40,6958.19,2021-12-03,2022-01-05,33 days,8.32,2022-01-24,7 days,-1.46,21.21,-17.59,38.8,-0.47,26,9.78,-20.9,37.62,True,False
113,index,^STOXX50E,ESTX 50 PR.EUR,4149.5,2021-12-03,2022-01-05,33 days,6.82,2022-01-24,7 days,-1.79,21.21,-26.24,47.45,-0.56,26,8.61,-25.58,33.13,True,False
114,index,^N100,Euronext 100 Index,1310.27,2021-12-03,2022-01-05,33 days,6.08,2022-01-24,7 days,-1.77,21.21,-29.13,50.34,-0.59,26,7.85,-25.3,30.2,True,False
115,index,^BFX,BEL 20,4053.03,2021-12-14,2022-01-04,21 days,5.13,2022-01-24,7 days,-2.24,33.33,-43.68,77.01,-0.57,14,7.37,-31.99,52.62,True,False
116,index,IMOEX.ME,MOEX Russia Index,3540.78,2021-12-13,2022-01-04,22 days,3.17,2022-01-24,7 days,3.2,31.82,100.78,68.96,1.48,15,-0.02,45.68,-0.17,True,False
117,index,^N225,Nikkei 225,27001.98,2021-10-13,2021-11-16,34 days,5.56,2022-01-27,4 days,0.04,11.76,0.76,11.01,0.08,30,5.52,1.05,18.41,True,False
118,index,^HSI,HANG SENG INDEX,23802.26,2021-10-06,2021-10-20,14 days,8.2,2022-01-05,26 days,2.37,185.71,28.86,156.85,0.19,-12,5.84,9.11,-48.63,True,False
119,index,000001.SS,SSE Composite Index,3361.44,2021-11-05,2021-12-13,38 days,4.32,2022-01-28,0 days,-0.97,0.0,-22.35,22.35,-1.05,38,5.29,-inf,13.92,False,False
120,index,399001.SZ,Shenzhen Component,13328.06,2021-10-12,2021-12-13,62 days,5.86,2022-01-28,0 days,-0.53,0.0,-9.02,9.02,-1.12,62,6.39,-inf,10.3,False,False
121,index,^JKSE,Composite Index,6631.15,2021-02-02,2022-01-21,353 days,11.02,2021-05-24,252 days,14.35,71.39,130.25,58.86,2.25,101,-3.33,5.69,-3.3,True,False
122,index,MSCI,MSCI Inc,508.13,2021-10-04,2021-11-16,43 days,10.6,2022-01-27,1 days,3.25,2.33,30.7,28.38,1.12,42,7.34,325.35,17.49,True,False
123,index,^TNX,CBOE Interest Rate 10 Year T No,1.81,2020-08-04,2022-01-18,532 days,142.38,2021-08-02,182 days,43.66,34.21,30.67,3.54,12.05,350,98.72,23.99,28.21,False,True
124,bov,GGBR4.SA,GERDAU      PN      N1,27.85,2021-11-10,2021-12-16,36 days,22.44,2022-01-25,6 days,0.21,16.67,0.93,15.74,0.06,30,22.23,3.47,74.1,True,False
125,bov,SUZB3.SA,SUZANO S.A. ON      NM,59.31,2021-07-30,2022-01-18,172 days,14.34,2021-10-27,96 days,18.39,55.81,128.26,72.45,1.8,76,-4.05,19.16,-5.33,True,False
126,bov,HAPV3.SA,HAPVIDA     ON      NM,12.38,2021-10-26,2021-11-11,16 days,15.26,2022-01-05,26 days,23.52,162.5,154.09,8.41,20.78,-10,-8.26,90.47,82.56,False,True
127,bov,BBDC4.SA,BRADESCO    PN      N1,22.5,2021-11-04,2022-01-28,85 days,12.69,2021-12-30,32 days,15.67,37.65,123.49,85.85,1.46,53,-2.98,48.96,-5.62,False,True
128,bov,ABEV3.SA,AMBEV S/A   ON,14.88,2021-10-22,2021-11-05,14 days,17.29,2022-01-20,11 days,2.44,78.57,14.09,64.48,0.22,3,14.85,22.15,495.06,False,True
129,bov,VIVT3.SA,TELEF BRASILON,49.02,2021-07-27,2021-11-19,115 days,27.85,2022-01-14,17 days,4.2,14.78,15.08,0.3,21.44,98,23.65,24.7,24.13,False,True
130,bov,WEGE3.SA,WEG         ON      NM,31.63,2021-11-30,2021-12-16,16 days,9.63,2022-01-10,21 days,7.86,131.25,81.57,49.68,1.68,-5,1.77,37.41,-35.5,False,True
131,bov,NEOE3.SA,NEOENERGIA  ON      NM,16.27,2021-10-06,2021-12-03,58 days,20.83,2022-01-10,21 days,10.36,36.21,49.72,13.51,3.97,37,10.47,49.32,28.31,False,True
132,bov,ETER3.SA,ETERNIT     ON      NM,16.97,2021-10-29,2021-12-28,60 days,45.99,2022-01-24,7 days,3.16,11.67,6.87,4.8,1.81,53,42.83,45.13,80.82,False,True
133,bov,ENEV3.SA,ENEVA       ON      NM,12.67,2021-10-22,2021-11-19,28 days,6.47,2022-01-18,13 days,0.62,46.43,9.64,36.78,0.27,15,5.84,4.8,38.95,False,True
134,bov,BPAC11.SA,BTGP BANCO  UNT     N2,23.47,2021-03-18,2021-07-26,130 days,33.16,2022-01-18,13 days,18.05,10.0,54.43,44.43,1.25,117,15.11,138.82,12.92,False,True
135,bov,CSNA3.SA,SID NACIONALON,25.0,2021-06-17,2021-07-29,42 days,13.97,2021-11-18,74 days,21.0,176.19,150.31,25.88,6.04,-32,-7.03,28.38,21.97,True,False
136,bov,ITUB4.SA,ITAUUNIBANCOPN      N1,24.58,2021-03-01,2021-06-16,107 days,28.53,2021-12-30,32 days,14.7,29.91,51.51,21.6,2.5,75,13.84,45.92,18.45,False,True
