,Type,Symbol,Description,Close,LastWaveStart,LastwaveEnd,LastWavePeriod,LastWaveValueGain,CurrentWaveStart,CurrentPeriod,CurrentValueGain,TRelative,GainRelative,Congruence,P,DeltaN,YieldEst,GainPerDayCurrent,GainPerDayEstimated,Boll-2MA,MA2Boll+,RSI
318,etf,IVVB11.SA,ISHARE SP500CI,260.4,2020-12-17,2021-12-29,377 days,39.78,2022-01-27,4 days,1.5,1.06,3.76,2.7,2.21,373,38.29,37.39,10.26,True,False,19.33
319,etf,MATB11.SA,IT NOW IMAT CI,61.1,2021-06-17,2021-07-13,26 days,7.02,2021-11-05,87 days,18.95,334.62,269.71,64.9,4.22,-61,-11.92,21.78,19.54,True,False,47.45
320,etf,XINA11.SA,TREND CHINA CI,8.14,2021-07-27,2021-10-21,86 days,11.85,2022-01-28,3 days,2.28,3.49,19.2,15.72,1.31,83,9.57,75.84,11.53,True,False,34.21
321,etf,GOLD11.SA,TREND OURO  CI,10.19,2021-07-02,2021-11-19,140 days,15.02,2022-01-31,0 days,-0.78,0.0,-5.19,5.19,-1.24,140,15.8,-inf,11.29,False,False,26.81
322,etf,SPXI11.SA,IT NOW SPXI CI,254.7,2020-09-21,2021-12-29,464 days,45.26,2022-01-27,4 days,1.4,0.86,3.1,2.24,2.5,460,43.85,35.11,9.53,True,False,20.64
323,etf,BCHI39.SA,MSCI CHINA  DRN,41.52,2021-07-27,2021-10-21,86 days,12.99,2022-01-28,3 days,2.25,3.49,17.34,13.85,1.35,83,10.73,75.05,12.93,True,False,36.01
324,etf,BIAU39.SA,GOLD TRUST  DRN,45.39,2021-07-02,2022-01-05,187 days,13.59,2022-01-31,0 days,-1.11,0.0,-8.18,8.18,-1.14,187,14.7,-inf,7.86,False,False,26.06
325,futures,GC=F,Gold Apr 22,1807.2,2021-09-29,2021-11-17,49 days,7.56,2021-12-02,61 days,1.58,124.49,20.87,103.62,0.2,-12,5.98,2.59,-49.84,True,False,46.77
326,futures,MGC=F,"Micro Gold Futures,Apr-2022",1807.0,2021-09-29,2021-11-17,49 days,7.58,2021-12-02,61 days,1.57,124.49,20.67,103.82,0.2,-12,6.01,2.57,-50.11,True,False,46.74
327,futures,PL=F,Platinum Apr 22,1045.6,2021-09-20,2021-11-15,56 days,17.04,2021-12-15,48 days,14.63,85.71,85.89,0.17,103.61,8,2.4,30.49,30.06,False,True,64.56
